id;time;setup;text;type;words
432;1051;style;ai;real;85
432;1111;pe;charlotte;real;85
432;659;scratch;garfield;real;81
430;617;style;ai;real;85
430;1073;scratch;charlotte;real;85
430;466;pe;garfield;real;81
429;433;pe;ai;real;85
429;1761;scratch;charlotte;real;85
429;743;style;garfield;real;81
428;625;scratch;ai;real;85
428;638;style;charlotte;real;85
428;420;pe;garfield;real;81
427;955;scratch;ai;real;85
427;958;pe;charlotte;real;85
427;981;style;garfield;real;81
425;1993;pe;ai;real;85
425;1911;style;charlotte;real;85
425;1436;scratch;garfield;real;81
424;2063;style;ai;real;85
424;1333;scratch;charlotte;real;85
424;392;pe;garfield;real;81
423;1562;pe;ai;real;85
423;2500;scratch;charlotte;real;85
423;1445;style;garfield;real;81
421;860;scratch;ai;real;85
421;927;pe;charlotte;real;85
421;845;style;garfield;real;81
432;900;style;ai;perceived;85
432;900;pe;charlotte;perceived;85
432;600;scratch;garfield;perceived;81
430;600;style;ai;perceived;85
430;900;scratch;charlotte;perceived;85
430;1200;pe;garfield;perceived;81
429;360;pe;ai;perceived;85
429;900;scratch;charlotte;perceived;85
429;300;style;garfield;perceived;81
428;600;scratch;ai;perceived;85
428;600;style;charlotte;perceived;85
428;420;pe;garfield;perceived;81
427;600;scratch;ai;perceived;85
427;600;pe;charlotte;perceived;85
427;600;style;garfield;perceived;81
425;1200;pe;ai;perceived;85
425;1200;style;charlotte;perceived;85
425;1200;scratch;garfield;perceived;81
424;1200;style;ai;perceived;85
424;600;scratch;charlotte;perceived;85
424;300;pe;garfield;perceived;81
423;900;pe;ai;perceived;85
423;900;scratch;charlotte;perceived;85
423;900;style;garfield;perceived;81
421;300;scratch;ai;perceived;85
421;600;pe;charlotte;perceived;85
421;780;style;garfield;perceived;81
